audio_id,actual_class,python_pred,python_conf,gtm_pred,gtm_conf,class_match,conf_difference,python_correct,gtm_correct
SS00007,animal_sound,gunshot,47.2,gunshot,35.75,yes,11.45,no,no
SS00013,background_noise,background_noise,96.47,background_noise,40.75,yes,55.72,yes,yes
SS00018,background_noise,background_noise,98.11,background_noise,70.75,yes,27.36,yes,yes
SS00025,background_noise,background_noise,96.1,background_noise,59.75,yes,36.35,yes,yes
SS00026,background_noise,machinery_fault,71.15,background_noise,38.5,no,32.65,no,yes
SS00030,background_noise,background_noise,90.37,background_noise,57.25,yes,33.12,yes,yes
SS00037,animal_sound,animal_sound,97.95,animal_sound,80.75,yes,17.2,yes,yes
SS00038,animal_sound,animal_sound,71.39,animal_sound,58.75,yes,12.64,yes,yes
SS00042,animal_sound,person_asking_for_help,77.86,person_asking_for_help,25.5,yes,52.36,no,no
SS00043,animal_sound,animal_sound,95.3,animal_sound,70.25,yes,25.05,yes,yes
SS00046,machinery_fault,machinery_fault,99.81,machinery_fault,70.5,yes,29.31,yes,yes
SS00048,machinery_fault,machinery_fault,86.32,machinery_fault,41.5,yes,44.82,yes,yes
SS00050,machinery_fault,machinery_fault,97.5,machinery_fault,52.25,yes,45.25,yes,yes
SS00056,animal_sound,animal_sound,85.46,animal_sound,60.5,yes,24.96,yes,yes
SS00064,background_noise,animal_sound,62.78,animal_sound,57.5,yes,5.28,no,no
SS00087,background_noise,background_noise,99.06,background_noise,79.25,yes,19.81,yes,yes
SS00088,vehicle_horn,vehicle_horn,98.18,machinery_fault,27.25,no,70.93,yes,no
SS00089,background_noise,machinery_fault,57.81,machinery_fault,45.0,yes,12.81,no,no
SS00106,animal_sound,animal_sound,99.94,animal_sound,91.75,yes,8.19,yes,yes
SS00111,animal_sound,animal_sound,95.28,animal_sound,60.75,yes,34.53,yes,yes
SS00116,alarm_siren,alarm_siren,96.22,alarm_siren,43.0,yes,53.22,yes,yes
SS00117,animal_sound,animal_sound,91.4,animal_sound,69.25,yes,22.15,yes,yes
SS00121,animal_sound,animal_sound,83.8,animal_sound,42.5,yes,41.3,yes,yes
SS00127,animal_sound,animal_sound,93.09,animal_sound,49.75,yes,43.34,yes,yes
SS00138,animal_sound,animal_sound,97.46,animal_sound,43.25,yes,54.21,yes,yes
SS00141,machinery_fault,machinery_fault,92.01,aggression,40.75,no,51.26,yes,no
SS00148,background_noise,background_noise,77.87,background_noise,55.75,yes,22.12,yes,yes
SS00149,background_noise,background_noise,92.23,background_noise,45.5,yes,46.73,yes,yes
SS00160,animal_sound,animal_sound,78.65,animal_sound,44.25,yes,34.4,yes,yes
SS00169,machinery_fault,machinery_fault,96.32,machinery_fault,83.25,yes,13.07,yes,yes
SS00177,animal_sound,animal_sound,50.36,machinery_fault,34.5,no,15.86,yes,no
SS00178,alarm_siren,alarm_siren,95.75,alarm_siren,36.0,yes,59.75,yes,yes
SS00183,background_noise,background_noise,97.22,background_noise,60.5,yes,36.72,yes,yes
SS00192,animal_sound,person_asking_for_help,51.84,animal_sound,44.5,no,7.34,no,yes
SS00194,animal_sound,animal_sound,93.48,animal_sound,55.5,yes,37.98,yes,yes
SS00195,alarm_siren,alarm_siren,98.48,alarm_siren,74.75,yes,23.73,yes,yes
SS00196,alarm_siren,alarm_siren,96.41,alarm_siren,59.0,yes,37.41,yes,yes
SS00227,glass_breaking,glass_breaking,98.36,glass_breaking,93.0,yes,5.36,yes,yes
SS00235,background_noise,person_asking_for_help,58.1,animal_sound,40.5,no,17.6,no,no
SS00241,background_noise,glass_breaking,59.63,glass_breaking,44.0,yes,15.63,no,no
SS00250,animal_sound,animal_sound,94.07,animal_sound,52.5,yes,41.57,yes,yes
SS00253,animal_sound,animal_sound,98.56,animal_sound,55.75,yes,42.81,yes,yes
SS00256,alarm_siren,alarm_siren,94.91,animal_sound,28.0,no,66.91,yes,no
SS00261,machinery_fault,machinery_fault,64.63,machinery_fault,78.5,yes,13.87,yes,yes
SS00265,machinery_fault,machinery_fault,97.51,machinery_fault,83.25,yes,14.26,yes,yes
SS00278,animal_sound,animal_sound,99.37,animal_sound,43.0,yes,56.37,yes,yes
SS00279,animal_sound,animal_sound,95.4,animal_sound,50.75,yes,44.65,yes,yes
SS00280,animal_sound,animal_sound,71.36,animal_sound,44.0,yes,27.36,yes,yes
SS00282,animal_sound,animal_sound,68.27,animal_sound,43.0,yes,25.27,yes,yes
SS00283,background_noise,background_noise,97.14,background_noise,55.75,yes,41.39,yes,yes
SS00292,animal_sound,animal_sound,80.27,animal_sound,47.5,yes,32.77,yes,yes
SS00302,animal_sound,animal_sound,97.44,animal_sound,62.25,yes,35.19,yes,yes
SS00313,animal_sound,animal_sound,41.37,animal_sound,30.75,yes,10.62,yes,yes
SS00318,vehicle_horn,alarm_siren,86.66,animal_sound,31.5,no,55.16,no,no
SS00343,animal_sound,animal_sound,95.45,animal_sound,55.25,yes,40.2,yes,yes
SS00345,animal_sound,animal_sound,99.74,animal_sound,61.25,yes,38.49,yes,yes
SS00356,animal_sound,animal_sound,98.79,animal_sound,74.75,yes,24.04,yes,yes
SS00361,background_noise,background_noise,71.37,background_noise,38.75,yes,32.62,yes,yes
SS00366,background_noise,background_noise,83.67,background_noise,66.0,yes,17.67,yes,yes
SS00380,alarm_siren,alarm_siren,72.62,animal_sound,27.5,no,45.12,yes,no
SS00384,machinery_fault,background_noise,55.7,machinery_fault,46.25,no,9.45,no,yes
SS00385,machinery_fault,machinery_fault,90.58,machinery_fault,55.75,yes,34.83,yes,yes
SS00386,machinery_fault,background_noise,68.25,machinery_fault,39.5,no,28.75,no,yes
SS00396,machinery_fault,machinery_fault,95.4,machinery_fault,54.0,yes,41.4,yes,yes
SS00398,alarm_siren,alarm_siren,91.04,animal_sound,33.5,no,57.54,yes,no
SS00402,alarm_siren,alarm_siren,96.14,alarm_siren,45.25,yes,50.89,yes,yes
SS00427,background_noise,background_noise,97.97,background_noise,77.0,yes,20.97,yes,yes
SS00438,animal_sound,animal_sound,71.63,animal_sound,50.5,yes,21.13,yes,yes
SS00441,animal_sound,animal_sound,73.75,animal_sound,50.25,yes,23.5,yes,yes
SS00443,animal_sound,animal_sound,34.88,machinery_fault,33.5,no,1.38,yes,no
SS00452,animal_sound,animal_sound,68.43,background_noise,40.75,no,27.68,yes,no
SS00456,animal_sound,animal_sound,97.71,animal_sound,60.0,yes,37.71,yes,yes
SS00464,machinery_fault,machinery_fault,81.58,animal_sound,47.0,no,34.58,yes,no
SS00473,animal_sound,animal_sound,86.17,background_noise,33.25,no,52.92,yes,no
SS00474,animal_sound,animal_sound,90.31,animal_sound,33.25,yes,57.06,yes,yes
SS00495,machinery_fault,machinery_fault,80.03,machinery_fault,38.25,yes,41.78,yes,yes
SS00499,machinery_fault,machinery_fault,68.57,machinery_fault,48.75,yes,19.82,yes,yes
SS00500,machinery_fault,machinery_fault,99.05,machinery_fault,63.75,yes,35.3,yes,yes
SS00507,alarm_siren,animal_sound,35.34,alarm_siren,39.75,no,4.41,no,yes
SS00520,animal_sound,machinery_fault,93.67,machinery_fault,33.75,yes,59.92,no,no
SS00522,animal_sound,machinery_fault,55.3,animal_sound,30.5,no,24.8,no,yes
SS00529,background_noise,background_noise,85.76,animal_sound,51.5,no,34.26,yes,no
SS00545,background_noise,background_noise,95.76,background_noise,69.5,yes,26.26,yes,yes
SS00561,animal_sound,animal_sound,65.74,person_asking_for_help,39.0,no,26.74,yes,no
SS00563,background_noise,background_noise,49.63,background_noise,35.25,yes,14.38,yes,yes
SS00568,machinery_fault,machinery_fault,99.87,machinery_fault,66.25,yes,33.62,yes,yes
SS00574,vehicle_horn,vehicle_horn,94.81,person_asking_for_help,25.5,no,69.31,yes,no
SS00576,machinery_fault,background_noise,51.8,machinery_fault,63.5,no,11.7,no,yes
SS00580,animal_sound,animal_sound,88.78,animal_sound,59.25,yes,29.53,yes,yes
SS00622,background_noise,background_noise,96.72,glass_breaking,32.25,no,64.47,yes,no
SS00632,animal_sound,animal_sound,95.99,animal_sound,76.0,yes,19.99,yes,yes
SS00635,machinery_fault,machinery_fault,99.27,background_noise,29.75,no,69.52,yes,no
SS00653,glass_breaking,glass_breaking,96.58,glass_breaking,73.75,yes,22.83,yes,yes
SS00664,animal_sound,animal_sound,79.85,animal_sound,53.75,yes,26.1,yes,yes
SS00675,background_noise,person_asking_for_help,41.72,background_noise,51.0,no,9.28,no,yes
SS00679,animal_sound,animal_sound,96.05,animal_sound,63.0,yes,33.05,yes,yes
SS00682,animal_sound,animal_sound,82.87,animal_sound,63.5,yes,19.37,yes,yes
SS00684,alarm_siren,alarm_siren,48.76,alarm_siren,40.5,yes,8.26,yes,yes
SS00689,animal_sound,animal_sound,98.53,animal_sound,63.5,yes,35.03,yes,yes
SS00703,alarm_siren,alarm_siren,99.06,alarm_siren,51.5,yes,47.56,yes,yes
